Critic,Publication,Review Text,Review Score,Original Score,Date,URL,Movie URL
Geoffrey Macnab,iNews.co.uk,"The technology may be new but this is a very old-fashioned affair, building on the legacy of its 1986 predecessor with wit and grace.",positive,4/5,"Jan 17, 2025",https://inews.co.uk/culture/film/top-gun-maverick-review-tom-cruise-1628097,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Denise Pieniazek,A Sala Llena (Argentina),"It is generally said that the second parts are not good, however, Top Gun Maverick is fortunately an exception to this rule, it is even considered that in terms of the level of action and intrigue it may even be superior...",positive,9/10,"Aug 21, 2024",https://cine-puestaenescena.blogspot.com/2022/05/los-hombres-tambien-lloran.html,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Brittany Patrice Witherspoon,Pop Culture Reviews,"After 36 years, Tom Cruise returns as Pete “Maverick” Mitchell and proved to fans (and critics) of the first Top Gun that a long-awaited sequel can be entertaining, deserved, and of high quality.",positive,4.5/5,"Jul 23, 2024",https://popculturereviews.com/2022/05/23/top-gun-maverick-review/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Joshua Polanski,Boston Hassle,It’s a good thing it looks good ... because the plot is bare-thin.,positive,,"Jul 16, 2024",https://bostonhassle.com/review-top-gun-maverick-2022-dir-joseph-kosinski/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Shakyl Lambert,CGMagazine,"Top Gun: Maverick is the rare legacy sequel that eclipses the original in every way possible, thanks to mind-blowing action and great character growth.",positive,9.5/10,"Jul 12, 2024",https://www.cgmagonline.com/review/movie/top-gun-maverick-review/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Ankit Ojha,Cinema Elite,"“Top Gun: Maverick,” if anything, proves that old-school big-budget blockbuster cinema that takes itself seriously isn’t just sorely missing from the yearly cinematic roster but still has the power to stand on its own.",positive,4.5/5,"Jul 9, 2024",https://cinemaelite.com/review/film/2022/05/top-gun-maverick/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Andrew Galdi,Movie Bitches,Ohh right this is what movies used to be like.,positive,,"Apr 24, 2024",https://youtu.be/pEWtMPsETTM,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Daniel Baptista,The Movie Podcast,Top Gun: Maverick is the reason why I go to the movies and why Tom Cruise is the biggest movie star in the world. WHAT. A RIDE.,positive,,"Sep 27, 2023",https://open.spotify.com/episode/7gg5nzGP7NoaW9uhyawXuJ?si=AchspIxKR9--N8srk_ujdQ,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Gautam Sunder,The Hindu,"Maverick dished out generous amounts of bromance, action, and a truly-immersive narrative in swashbuckling style, and Cruise’s iconic grin was still the greatest thing to take away from it.",positive,,"Sep 13, 2023",https://www.thehindu.com/entertainment/movies/the-best-films-of-2022-from-aftersun-and-top-gun-maverick-to-rrr/article66323928.ece,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Rick Bentley,"KGET-TV (Bakersfield, CA)",It is all of the flying sequences that are shot in such a way that it makes the moviegoer feel like they are a passenger that gives the movie its energy and makes it so much fun.,positive,B+,"Aug 9, 2023",https://www.kget.com/community/ricks-reviews/nope-fails-to-live-up-to-past-works-by-jordan-peele/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Hector A. Gonzalez,The Movie Buff,Top Gun: Maverick is a surprising stunner crafted with pure adrenaline and kerosene.,positive,B-,"Jul 29, 2023",https://www.themoviebuff.net/2022/05/review-top-gun-maverick-2022/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Jillian Chilingerian,Offscreen With Jillian,Tom Cruise might save cinema.,positive,,"Jul 26, 2023",https://offscreenwithjillian.com/reviews/top-gun-maverick-a-guide-on-how-to-do-a-legacy-sequel,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Zach Pope,Zach Pope Reviews,"SPECTACULAR! One of the best cinematic experiences I have truly ever had in a theater. Heartfelt, exhilarating & down right emotional. Tom Cruise turns in one of his best performances & Top Gun 2 becomes one of his best films in his Career.",positive,,"Jul 25, 2023",https://youtu.be/JfUGCbseyxk,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Manuel São Bento,FirstShowing.net,"The return of pure, nostalgic blockbusters. The best aerial action sequences ever amaze even the highest expectations, not only due to the absolutely insane real stunts but largely because of the flawless contribution of all filmmaking elements.",positive,A,"Jul 25, 2023",https://www.firstshowing.net/2022/review-tom-cruise-in-top-gun-maverick/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Matthew Creith,Matinee With Matt,"The final scenes are truly nail biting, with intense flight sequences that result in Tom Cruise’s cast members going from nearly unknown performers, to A-list stars in a matter of minutes.",positive,,"Jul 25, 2023",https://www.matineewithmatt.com/post/top-gun-maverick,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Tina Kakadelis,Beyond the Cinerama Dome,"Top Gun: Maverick is the rare sequel that elevates its source material and creates a new, worthwhile story. A high-octane thrill ride that celebrates where Maverick's been and where he’s going.",positive,,"Jul 25, 2023",https://www.beyondthecineramadome.com/movie-reviews/2022/5/27/need-for-speed-top-gun-maverick-review-ltk99,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
A.S. Hamrah,The Baffler,"The film is pure ideology, pure militarism, generic, and like the first Top Gun in 1986, undemanding.",negative,,"Mar 16, 2023",https://thebaffler.com/latest/riding-the-goddamn-elephant-hamrah,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Li Lai,Mediaversity Reviews,"Women in Top Gun: Maverick don’t see much development, but written dialogue and camerawork treat them with respect.",negative,C,"Mar 6, 2023",https://www.mediaversityreviews.com/film-reviews/2023/3/6/top-gun-maverick,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Rob Gonsalves,Rob's Movie Vault,"There’s no reason in the world it should have worked, but it does.",positive,B,"Feb 21, 2023",https://robsmovievault.wordpress.com/2023/02/19/top-gun-maverick/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Alison Gillmor,Winnipeg Free Press,"A movie-movie with an old-school movie star, this actioner is best seen in theatres, where the dazzling fighter-jet sequences will make you dizzy.",positive,,"Feb 10, 2023",https://www.winnipegfreepress.com/arts-and-life/2023/02/04/front-runners-and-long-shots,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Benjamin Wiebe,InSession Film,All of these elements come together to form one of the biggest third acts in recent cinema.,positive,A-,"Feb 10, 2023",https://insessionfilm.com/movie-review-top-gun-maverick/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Victor Pineyro,Seventh Art Studio,"While other actors disappear behind their roles, Tom Cruise wants you to know it's him. This movie uses all of its technical marvel to bring us back to an adrenaline-filled formula blockbuster full of emotion. Made for the movies. [Full review in Spanish]",positive,9/10,"Feb 6, 2023",https://seventhartstudio.com/top-gun-maverick-2022-resena/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Wesley Lovell,Cinema Sight,"Top Gun: Maverick is a little bloated at times and could have used a bit of trimming, especially in its third act, but there’s no denying the magnetic energy the film brings to the viewer.",positive,3.5/4,"Feb 6, 2023",http://cinemasight.com/review-top-gun-maverick-2022/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Cate Young,"Thirty, Flirty + Film","""It’s a valid critical interpretation that Top Gun: Maverick is merely propaganda wrapped in a very pretty bow. But boy, that bow is really something.""",positive,,"Feb 4, 2023",https://30flirtyfilm.substack.com/i/99528100/cate-on-top-gun-maverick,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Santanu Das,Hindustan Times,Its a sure-footed performance from an actor that never fails to hold the attention of its audience.,positive,,"Jan 31, 2023",https://www.hindustantimes.com/entertainment/hollywood/best-hollywood-film-performances-of-2022-timoth-e-chalamet-to-michelle-yeoh-mia-goth-101672151524835.html,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Felix Vasquez Jr.,Cinema Crazed,A big jingoistic cartoon. But it’s a fun jingoistic cartoon...,positive,,"Jan 23, 2023",https://www.cinema-crazed.com/blog/2023/01/22/top-gun-maverick-2022/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
William Jones,CBR,"After years of uncertainty with the pandemic, Tom Cruise's Top Gun: Maverick has saved movie theaters, revitalizing their business with a great film.",positive,,"Jan 9, 2023",https://www.cbr.com/top-gun-2-how-saved-theaters/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Kevin Sampson,Picture Lock,"We want the thrill of suspense, to root for characters, to be in awe of cinematography, and to share the collective experience of unity in watching a film with strangers.This movie gives you that and more!",positive,A,"Jan 5, 2023",https://picturelockshow.com/new-releases/2022/5/26/top-gun-maverick-review-definition-of-a-must-see,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Jason Fraley,"WTOP (Washington, D.C.)","Stunning aerial action sequences aren't just random dogfighting but serve as narrative test runs to prep viewers for the climax. Granted, the nostalgia wouldn’t exist without Tony Scott, so it’s hard to give Kosinski credit for copying the flight pattern.",positive,4.5/5,"Jan 3, 2023",https://wtop.com/gallery/entertainment/wtop-film-critic-jason-fraley-ranks-the-best-movies-of-2022/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Scott Phillips,Forbes,"As the movie star system gives way to the IP era, don’t ever forget one thing: Tom Cruise is still a major movie star.",positive,,"Dec 29, 2022",https://www.forbes.com/sites/scottphillips/2022/12/20/the-best-films-of-2022/?sh=711e1ec26708,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Larushka Ivan-Zadeh,Metro Newspaper (UK),Burnished 1980s blockbuster nostalgia as Tom Cruise and producer Jerry Bruckheimer prove they can still make ’em like they used to. Strap in for the thrillingly real aerial dog fights.,positive,,"Dec 27, 2022",https://metro.co.uk/2022/12/21/top-10-films-of-2022-from-black-panther-wakanda-forever-to-aftersun-17969725/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Siddhant Adlakha,JoySauce.com,"The zenith of modern “legacy sequels,” Top Gun: Maverick is in many ways traditional—from its “rah rah” militarism, to its 1980s individualism—but it’s also a metatextual lament for the dying light of movie stars.",positive,,"Dec 26, 2022",https://joysauce.com/best-movies-of-2022/,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
Matt Pais,MattPais.com,Visually and emotionally satisfying in ways that you’d think would be the norm for big movies featuring families and explosions but very much aren’t.,positive,B+,"Dec 21, 2022",https://www.mattpais.com/movie-reviews/2022/12/18/best-movies-2022,https://www.rottentomatoes.com/m/top_gun_maverick/reviews
